full_text,user_id,user_name,user_location
After the climate election: shellshocked green groups remain resolute https://t.co/wyJzmAcyiD,92484856,PIPELINEPETE,"Brisbane, Queensland"
"@narendramodi @smritiirani Coverage of indian election on SBS tv channel, Australia. Jai hind 🇮🇳🙏 https://t.co/90qplBEAf8",775647396,Narinder Parmar,"Wollongong, NSW, AUSTRALIA"
"@workmanalice Do you know if Facebook is releasing an election post-mortem in Australia? They looked into the midterms, but were we important enough to bother?",56873,Peter Wells,Melbourne
"@vanbadham We all understand we have a compulsory preference system. Vote 1 mightn’t go to the major but 2 or 3 usually does.
Majority of Australia wanted LNP, that’s the facts.
This is nothing like the USA System.",9.08E+17,The Realist,
"Shares were mixed in Asia, with India and Australia leading gains for the region following elections that looked set to keep incumbents in office. https://t.co/krRhPYuRID",526007385,Inquirer Business,Philippines
Australia's pollsters to review incorrect election forecasts https://t.co/isy2SPg7L5,7.91E+17,Adal News,
It is disappointing that @tanya_plibersek has ruled herself out of the @AustralianLabor leadership challenge - given her qualities https://t.co/n1DaiVRRF7 #auspol,51002583,Matthew Rimmer,"Brisbane, Queensland"
"@robynesc I feel like this exact thing happens with Australia too. People think 
“I really like “Zero Gravity”, it’s a good song! But it’s from Australia, a country that I think shouldn’t be competing, so I’ll vote for something else”",2271271897,Jaz Jubilee,Australia
'Quiet Australians' are the latest to upset election forecasters' expectations https://t.co/Ryh3ViNw0W,1740060962,Moved,
Conservatives look set to form gov't after Australia vote. https://t.co/mLIghhw8Yc,279764229,Nevada News,"Nevada, USA"
"#auspol Hear, bloody hear. Any party that opposes this should be relentlessly grilled as to why......False election claims spark push for truth in political advertising laws https://t.co/Oe5nKYOp8n",1721130294,Gary Fallon,Melbourne Australia
Comment: Losing the unlosable election: the aftermath for Labor https://t.co/LcGwAAjzTx WHEN DECENT POLICIES &amp; SUPPORT 4 THE LESS WELL OFF R DISCOUNTED AT A CRUCIAL ELECTION WE MUST B ASHAMED AS A NATION. THIS WAS A MONEY 4 THE RICH ELECTION - ENVIROMENT &amp; JOBS NOT EVEN AN ISSUE.,3045738188,Ice Maiden,
Conservatives look set to form gov’t after Australia vote – Fox News https://t.co/15uvEsEsj5,1.12E+18,Web Design Company,United States
Australia's pollsters to review incorrect election forecasts https://t.co/tdH0hYwTFx,9.81E+17,Jo han,"California,orlando"
